User,concept:name,time:timestamp,case:Spend area text,case:Document Type,case:Vendor,case:Item Type,case:Spend classification text,case:concept:name
batch_00,SRM: Created,2018-01-02T12:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
batch_00,SRM: Complete,2018-01-02T13:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
batch_00,SRM: Awaiting Approval,2018-01-02T13:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
batch_00,SRM: Document Completed,2018-01-02T13:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
batch_00,SRM: In Transfer to Execution Syst.,2018-01-02T13:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
batch_00,SRM: Ordered,2018-01-02T13:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
batch_00,SRM: Change was Transmitted,2018-01-02T13:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
user_000,Create Purchase Order Item,2018-01-02T13:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
NONE,Vendor creates invoice,2018-01-02T22:59:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
user_000,Record Goods Receipt,2018-03-06T06:44:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
user_001,Record Invoice Receipt,2018-03-06T07:53:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
user_002,Clear Invoice,2018-03-29T13:06:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000000_00001
batch_00,SRM: Created,2018-01-08T06:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
batch_00,SRM: Complete,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
batch_00,SRM: Awaiting Approval,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
batch_00,SRM: Document Completed,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
batch_00,SRM: In Transfer to Execution Syst.,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
batch_00,SRM: Ordered,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
batch_00,SRM: Change was Transmitted,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
user_000,Create Purchase Order Item,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
NONE,Vendor creates invoice,2018-01-08T22:59:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
user_000,Record Goods Receipt,2018-01-12T13:14:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
user_001,Record Invoice Receipt,2018-02-12T15:58:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
user_005,Clear Invoice,2018-03-08T12:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00001
batch_00,SRM: Created,2018-01-08T06:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
batch_00,SRM: Complete,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
batch_00,SRM: Awaiting Approval,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
batch_00,SRM: Document Completed,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
batch_00,SRM: In Transfer to Execution Syst.,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
batch_00,SRM: Ordered,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
batch_00,SRM: Change was Transmitted,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
user_000,Create Purchase Order Item,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
NONE,Vendor creates invoice,2018-01-08T22:59:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
user_000,Record Goods Receipt,2018-01-12T13:14:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
user_001,Record Invoice Receipt,2018-02-12T15:58:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
user_005,Clear Invoice,2018-03-08T12:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00002
batch_00,SRM: Created,2018-01-08T06:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
batch_00,SRM: Complete,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
batch_00,SRM: Awaiting Approval,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
batch_00,SRM: Document Completed,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
batch_00,SRM: In Transfer to Execution Syst.,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
batch_00,SRM: Ordered,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
batch_00,SRM: Change was Transmitted,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
user_000,Create Purchase Order Item,2018-01-08T07:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
NONE,Vendor creates invoice,2018-01-08T22:59:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
user_000,Record Goods Receipt,2018-01-12T13:14:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
user_001,Record Invoice Receipt,2018-02-12T15:58:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
user_005,Clear Invoice,2018-03-08T12:21:00.000000000Z,Enterprise Services,EC Purchase order,vendorID_0003,Standard,NPR,2000000003_00003
batch_00,SRM: Created,2018-01-08T06:21:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
batch_00,SRM: Complete,2018-01-08T07:21:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
batch_00,SRM: Awaiting Approval,2018-01-08T07:21:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
batch_00,SRM: Document Completed,2018-01-08T07:21:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
batch_00,SRM: In Transfer to Execution Syst.,2018-01-08T07:21:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
batch_00,SRM: Ordered,2018-01-08T07:21:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
batch_00,SRM: Change was Transmitted,2018-01-08T07:21:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
user_000,Create Purchase Order Item,2018-01-08T07:21:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
NONE,Vendor creates invoice,2018-01-08T22:59:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
user_000,Record Goods Receipt,2018-01-12T13:13:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
batch_00,Record Invoice Receipt,2018-03-05T15:30:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
user_002,Clear Invoice,2018-03-29T13:06:00.000000000Z,CAPEX & SOCS,EC Purchase order,vendorID_0000,Standard,NPR,2000000004_00001
batch_00,SRM: Created,2018-01-08T09:08:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
batch_00,SRM: Complete,2018-01-08T10:08:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
batch_00,SRM: Awaiting Approval,2018-01-08T10:08:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
batch_00,SRM: Document Completed,2018-01-08T10:08:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
batch_00,SRM: In Transfer to Execution Syst.,2018-01-08T10:09:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
batch_00,SRM: Ordered,2018-01-08T10:09:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
user_000,Create Purchase Order Item,2018-01-08T10:09:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
batch_00,SRM: Change was Transmitted,2018-01-08T10:09:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
NONE,Vendor creates invoice,2018-01-08T22:59:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
NONE,Vendor creates debit memo,2018-01-08T22:59:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
user_000,Record Goods Receipt,2018-01-19T08:09:00.000000000Z,Workforce Services,EC Purchase order,vendorID_0004,Standard,NPR,2000000005_00001
